ride_id,single_rider_ride_id,park,land,attraction,type,environment,offers_single_rider,offers_premier_access,usual_open_time,usual_close_time,thrill_level,fun_level,priority,notes
2702,,Disneyland Park,Adventureland,Adventure Isle,walkthrough,mixed,false,false,,,1,3,2,"Exploration area; caves, bridges and Skull Rock"
2,7306,Disneyland Park,Adventureland,Indiana Jones™ and the Temple of Peril,roller_coaster,outdoor,true,true,,,5,5,5,"Compact outdoor looping coaster; 1.40 m minimum height"
1,,Disneyland Park,Adventureland,La Cabane des Robinson,walkthrough,outdoor,false,false,,,1,2,1,"Walk-through treehouse; lots of stairs"
2703,,Disneyland Park,Adventureland,Le Passage Enchanté d'Aladdin,walkthrough,indoor,false,false,,,1,2,1,"Short walk-through with Aladdin dioramas"
2705,,Disneyland Park,Adventureland,Pirate Galleon,walkthrough,outdoor,false,false,,,1,2,1,"Static pirate-ship exploration area"
3,,Disneyland Park,Adventureland,Pirates of the Caribbean,boat_dark_ride,indoor,false,true,,,2,4,4,"Classic elaborate boat dark ride; one of the park's signature attractions"
2704,,Disneyland Park,Adventureland,Pirates' Beach,play_area,outdoor,false,false,,,1,1,1,"Children's play area"
4,,Disneyland Park,Discoveryland,"Autopia, presented by Avis",driving_ride,outdoor,false,true,,,2,3,2,"Guided petrol-car driving attraction"
5,,Disneyland Park,Discoveryland,Buzz Lightyear Laser Blast,interactive_dark_ride,indoor,false,true,,,2,4,4,"Interactive shooting dark ride"
2706,,Disneyland Park,Discoveryland,Disneyland Railroad Discoveryland Station,transport,mixed,false,false,,,1,2,1,"Railroad station; service may vary during day"
6,,Disneyland Park,Discoveryland,Les Mystères du Nautilus,walkthrough,indoor,false,false,,,1,3,2,"Walk-through of Captain Nemo's submarine"
2707,,Disneyland Park,Discoveryland,Mickey’s PhilharMagic,show,indoor,false,false,,,1,3,2,"3D musical film attraction"
7,,Disneyland Park,Discoveryland,Orbitron®,spinner,outdoor,false,true,,,2,3,2,"Elevated spinner; Premier Access One only, excluded from Ultimate"
9,,Disneyland Park,Discoveryland,Star Tours: The Adventures Continue*,motion_simulator,indoor,false,true,,,4,4,4,"Star Wars motion simulator with randomized sequences"
8,7278,Disneyland Park,Discoveryland,Star Wars Hyperspace Mountain,roller_coaster,indoor,true,true,,,5,5,5,"High-priority launched indoor coaster; Star Wars overlay"
4573,,Disneyland Park,Discoveryland,Welcome to Starport: A Star Wars Encounter,meet_and_greet,indoor,false,false,,,1,3,2,"Star Wars character encounter"
19,,Disneyland Park,Fantasyland,"it's a small world",boat_dark_ride,indoor,false,true,,,1,3,2,"Classic family boat ride"
14,,Disneyland Park,Fantasyland,Alice's Curious Labyrinth,walkthrough,outdoor,false,false,,,1,3,2,"Hedge maze and Queen of Hearts castle"
15,,Disneyland Park,Fantasyland,Blanche-Neige et les Sept Nains®,dark_ride,indoor,false,false,,,1,3,2,"Classic Snow White dark ride"
17,,Disneyland Park,Fantasyland,Casey Jr. – le Petit Train du Cirque,family_coaster,outdoor,false,false,,,2,3,2,"Gentle miniature train/coaster"
2711,,Disneyland Park,Fantasyland,Disneyland Railroad Fantasyland Station,transport,mixed,false,false,,,1,2,1,"Railroad station; service may vary during day"
11,,Disneyland Park,Fantasyland,Disneyland Railroad Main Street Station,transport,mixed,false,false,,,1,3,2,"Scenic railroad around Disneyland Park"
18,,Disneyland Park,Fantasyland,Dumbo the Flying Elephant,spinner,outdoor,false,false,,,2,3,2,"Classic aerial spinner"
